"","Ano","Codigo_Programa","Codigo_Actividad_u_Obra","Vigente","Devengado","Codigo_Economico_Nivel_4","Codigo_Departamento","Codigo_Municipio","Codigo_Fuente_agregada","Codigo_Renglon","ej"
"72000",2015,12,1202000004000,250000,250000,2112000,7,702,20,185,1
"72023",2015,12,1202000004000,250000,250000,2112000,12,1202,20,185,1
"72032",2015,12,1202000004000,250000,250000,2112000,13,1302,20,185,1
"72044",2015,12,1202000004000,250000,250000,2112000,13,1326,20,185,1
"72051",2015,12,1202000004000,250000,250000,2112000,14,1406,20,185,1
"72055",2015,12,1202000004000,1342337,1342337,2112000,14,1413,20,185,1
"72069",2015,12,1202000004000,250000,250000,2112000,17,1703,20,185,1
"72097",2015,13,1300000002000,150000,0,2112000,1,101,60,189,0
"72100",2015,14,1401000002000,650,0,2112000,1,101,10,122,0
"72101",2015,14,1401000002000,50000,15978,2112000,1,101,10,133,0
"72102",2015,14,1401000002000,343541,220300,2112000,1,101,10,141,0
"72104",2015,14,1401000002000,9029730,4848930,2112000,1,101,10,185,0
"72105",2015,14,1401000002000,1100000,1100000,2112000,1,101,10,189,1
"72106",2015,14,1401000002000,9930,9930,2112000,1,101,10,196,1
"72107",2015,14,1401000002000,39900,39900,2112000,1,101,10,199,1
"72108",2015,14,1401000002000,533005,357027,2112000,1,101,10,211,0
"72116",2015,14,1401000002000,5000,0,2112000,1,101,10,268,0
"72117",2015,14,1401000002000,476,0,2112000,4,401,50,268,0
"72118",2015,14,1401000002000,476,0,2112000,4,403,50,268,0
"72119",2015,14,1401000002000,476,0,2112000,7,704,50,268,0
"72120",2015,14,1401000002000,476,0,2112000,7,719,50,268,0
"72121",2015,14,1401000002000,952,0,2112000,8,801,50,268,0
"72122",2015,14,1401000002000,476,0,2112000,9,901,50,268,0
"72123",2015,14,1401000002000,476,0,2112000,9,909,50,268,0
"72124",2015,14,1401000002000,476,0,2112000,13,1301,50,268,0
"72125",2015,14,1401000002000,476,0,2112000,13,1326,50,268,0
"72126",2015,14,1401000002000,476,0,2112000,14,1401,50,268,0
"72127",2015,14,1401000002000,476,0,2112000,14,1413,50,268,0
"72128",2015,14,1401000002000,476,0,2112000,14,1420,50,268,0
"72129",2015,14,1401000002000,476,0,2112000,15,1501,50,268,0
"72130",2015,14,1401000002000,476,0,2112000,15,1503,50,268,0
"72131",2015,14,1401000002000,476,0,2112000,16,1601,50,268,0
"72132",2015,14,1401000002000,476,0,2112000,16,1613,50,268,0
"72133",2015,14,1401000002000,476,0,2112000,17,1710,50,268,0
"72134",2015,14,1401000002000,476,0,2112000,18,1803,50,268,0
"72135",2015,14,1401000002000,476,0,2112000,20,2004,50,268,0
"72136",2015,14,1401000002000,480,0,2112000,20,2005,50,268,0
"72140",2015,14,1401000002000,31428,15780,2112000,4,401,50,293,0
"72141",2015,14,1401000002000,31428,15780,2112000,4,403,50,293,0
"72142",2015,14,1401000002000,31428,15780,2112000,7,704,50,293,0
"72143",2015,14,1401000002000,31428,15780,2112000,7,719,50,293,0
"72144",2015,14,1401000002000,62856,31560,2112000,8,801,50,293,0
"72145",2015,14,1401000002000,31428,15780,2112000,9,901,50,293,0
"72146",2015,14,1401000002000,31428,15780,2112000,9,909,50,293,0
"72147",2015,14,1401000002000,31428,15780,2112000,13,1301,50,293,0
"72148",2015,14,1401000002000,31428,15780,2112000,13,1326,50,293,0
"72149",2015,14,1401000002000,31428,15780,2112000,14,1401,50,293,0
"72150",2015,14,1401000002000,31428,15780,2112000,14,1413,50,293,0
"72151",2015,14,1401000002000,31428,15780,2112000,14,1420,50,293,0
"72152",2015,14,1401000002000,31428,15780,2112000,15,1501,50,293,0
"72153",2015,14,1401000002000,31428,15780,2112000,15,1503,50,293,0
"72154",2015,14,1401000002000,31428,15780,2112000,16,1601,50,293,0
"72155",2015,14,1401000002000,31428,15780,2112000,16,1613,50,293,0
"72156",2015,14,1401000002000,31428,15780,2112000,17,1710,50,293,0
"72157",2015,14,1401000002000,31428,15780,2112000,18,1803,50,293,0
"72158",2015,14,1401000002000,31428,15780,2112000,20,2004,50,293,0
"72159",2015,14,1401000002000,31440,15780,2112000,20,2005,50,293,0
"72160",2015,14,1401000002000,50000,50000,2112000,1,101,10,294,1
"72161",2015,5,500000008000,632.5,632.5,2113000,1,101,10,195,1
"138720",2016,5,500000008000,2311962,2311961.81,2111000,1,101,10,11,1
"138721",2016,5,500000008000,39060,39060,2111000,7,701,10,11,1
"138722",2016,5,500000008000,600,600,2111000,1,101,10,13,1
"138723",2016,5,500000008000,690,690,2111000,7,701,10,13,1
"138724",2016,5,500000008000,150213,150212.5,2111000,1,101,10,14,1
"138725",2016,5,500000008000,2469624,2469623.87,2111000,1,101,10,15,1
"138726",2016,5,500000008000,44596,44595.3,2111000,7,701,10,15,1
"138727",2016,5,500000008000,1284099,1284098.41,2111000,1,101,10,22,1
"138728",2016,5,500000008000,18228,18228,2111000,7,701,10,22,1
"138729",2016,5,500000008000,245,245,2111000,7,701,10,25,1
"138730",2016,5,500000008000,38355,38354.03,2111000,1,101,10,26,1
"138731",2016,5,500000008000,687306,687305.26,2111000,1,101,10,27,1
"138732",2016,5,500000008000,20812,20811.14,2111000,7,701,10,27,1
"138733",2016,5,500000008000,579051,579050.45,2111000,1,101,10,71,1
"138734",2016,5,500000008000,10741,5369.52,2111000,7,701,10,71,0
"138735",2016,5,500000008000,543040,543039.63,2111000,1,101,10,72,1
"138736",2016,5,500000008000,10740,10739.04,2111000,7,701,10,72,1
"138737",2016,5,500000008000,8892,8891.26,2111000,1,101,10,73,1
"138738",2016,5,500000008000,400,400,2111000,7,701,10,73,1
"138739",2016,5,500000008000,77640,76135,2112000,1,101,10,113,1
"138740",2016,5,500000008000,2051,2050.2,2112000,1,101,10,121,1
"138741",2016,5,500000008000,383988,123704.35,2112000,1,101,10,122,0
"138742",2016,5,500000008000,20000,8148.25,2112000,1,101,10,133,0
"138743",2016,5,500000008000,5000,1461,2112000,1,101,10,141,0
"138744",2016,5,500000008000,20000,14898,2112000,1,101,10,162,0
"138745",2016,5,500000008000,1e+05,83637.28,2112000,1,101,10,165,0
"138746",2016,5,500000008000,22949,18290,2112000,1,101,10,168,0
"138748",2016,5,500000008000,30000,22100.4,2112000,1,101,10,191,0
"138749",2016,5,500000008000,5000,274,2112000,1,101,10,199,0
"138750",2016,5,500000008000,10553,10424.35,2112000,1,101,10,211,1
"138751",2016,5,500000008000,7138,5342.4,2112000,1,101,10,241,0
"138752",2016,5,500000008000,5000,3681.4,2112000,1,101,10,243,0
"138753",2016,5,500000008000,5000,3787.15,2112000,1,101,10,244,0
"138754",2016,5,500000008000,2000,642.1,2112000,1,101,10,247,0
"138755",2016,5,500000008000,20957,20956.25,2112000,1,101,10,253,1
"138757",2016,5,500000008000,4000,0,2112000,1,101,10,266,0
"138758",2016,5,500000008000,79960,79935,2112000,1,101,10,267,1
"138759",2016,5,500000008000,3000,400,2112000,1,101,10,268,0
"138761",2016,5,500000008000,13500,3216.42,2112000,1,101,10,286,0
"138762",2016,5,500000008000,23914,17111.15,2112000,1,101,10,291,0
"138763",2016,5,500000008000,500,0,2112000,1,101,10,292,0
"138764",2016,5,500000008000,805,0,2112000,1,101,10,297,0
"138767",2016,11,1102000002000,10210,5729.08,2112000,1,101,10,122,0
"138768",2016,11,1102000002000,4280,2091.76,2112000,1,109,10,122,0
"138769",2016,11,1102000002000,21600,10102.32,2112000,1,110,10,122,0
"138770",2016,11,1102000002000,4800,2244.96,2112000,1,111,10,122,0
"138771",2016,11,1102000002000,4000,1870.8,2112000,1,112,10,122,0
"138772",2016,11,1102000002000,7200,3367.44,2112000,4,401,10,122,0
"138773",2016,11,1102000002000,24800,11598.96,2112000,4,402,10,122,0
"138774",2016,11,1102000002000,4000,1870.8,2112000,4,403,10,122,0
